SiteId;Battery_1_Capacity;Battery_1_Power;Battery_1_Charge_Efficiency;Battery_1_Discharge_Efficiency;Battery_2_Capacity;Battery_2_Power;Battery_2_Charge_Efficiency;Battery_2_Discharge_Efficiency
12;10;2.5;0.9500000000000001;0.9500000000000001;20;5;0.9500000000000001;0.9500000000000001
1;300;75.0;0.9500000000000001;0.9500000000000001;600;150;0.9500000000000001;0.9500000000000001
3;100;25.0;0.9500000000000001;0.9500000000000001;200;50;0.9500000000000001;0.9500000000000001
7;10;2.5;0.9500000000000001;0.9500000000000001;20;5;0.9500000000000001;0.9500000000000001
11;400;100.0;0.9500000000000001;0.9500000000000001;800;200;0.9500000000000001;0.9500000000000001
32;600;150.0;0.9500000000000001;0.9500000000000001;1200;300;0.9500000000000001;0.9500000000000001
4;100;25.0;0.9500000000000001;0.9500000000000001;200;50;0.9500000000000001;0.9500000000000001
10;1500;375.0;0.9500000000000001;0.9500000000000001;3000;750;0.9500000000000001;0.9500000000000001
31;300;75.0;0.9500000000000001;0.9500000000000001;600;150;0.9500000000000001;0.9500000000000001
2;600;150.0;0.9500000000000001;0.9500000000000001;1200;300;0.9500000000000001;0.9500000000000001
29;100;25.0;0.9500000000000001;0.9500000000000001;200;50;0.9500000000000001;0.9500000000000001
